accession,ref_f_unweighted,ref_f_weighted,n_matches
DRR014782,0.7336210201410953,0.9495406744483179,12389
DRR014785,0.7281046841137468,0.9469769689286415,13328
DRR019499,0.2687649690445036,0.2590636422462792,21126
DRR042462,0.9010708976730507,0.9650854936569222,3213
DRR042463,0.8158205763166049,0.9379890528501523,4229
DRR046069,0.7718714340053183,0.8392320148045339,1896
DRR046087,0.8017673549152979,0.902896282955921,1847
DRR092714,0.4039057104023435,0.5728908333117606,17876
DRR121397,0.6118255350777734,0.6485763826994442,17436
DRR121401,0.5778809777856193,0.6016574204546574,16482
DRR163685,0.25060755141918156,0.5929443355933637,9136
DRR163686,0.2735299209414408,0.6443779559299299,7516
DRR163687,0.3793180261861977,0.6162675381345064,22689
DRR163688,0.4011809656130483,0.6057029626407617,1265
DRR163689,0.22131824917284926,0.23721434223615998,11537
DRR163690,0.21738801338187574,0.2213479052823315,10791
DRR163691,0.2252107379066395,0.2684521739130435,6467
DRR163692,0.24874503558199373,0.2753319532232921,15717
DRR163693,0.2566507878337341,0.3059800258752706,9775
ERR10695318,0.30007924976826567,0.877064262586372,13000
ERR10695319,0.2960560353402104,0.8543089762169268,13523
ERR10695321,0.3620786227864303,0.8819300537889762,15422
ERR10695324,0.444743773946175,0.7929220847346573,9576
ERR10736389,0.45450724422646904,0.7194560497525287,7905
ERR10736393,0.4412178391358421,0.6934711177380164,8225
ERR1190729,0.8995546311575857,0.9811171110802824,3756
ERR1190860,0.8053655570754439,0.9857799594826243,1678
ERR1201173,0.470639525665489,0.5063207676945919,14340
ERR1201180,0.4726403203081939,0.5019589441067811,13278
ERR1414265,0.563885254151563,0.6076789591228493,32479
ERR1414267,0.5969588982453785,0.6911561962267262,42665
ERR1414271,0.5995329080624145,0.7393847912295014,40212
ERR1467141,0.6237220263295458,0.6997141690485913,12417
ERR1467142,0.6680335228970599,0.7534167532189195,7601
ERR1467143,0.6651997363773048,0.7420876744643208,10361
ERR1467144,0.6695757003951813,0.7516761929694431,8511
ERR1467145,0.6691163976202471,0.7657489500699953,10104
ERR1467146,0.6595803936127886,0.7405307866469196,7475
ERR1467147,0.6620421865827619,0.752128694500998,10645
ERR1467148,0.6612636303860214,0.7471843081723898,9894
ERR1467149,0.6735001223617839,0.765229669759668,11107
ERR1467150,0.6712563662880295,0.7547608727062564,8528
ERR1467151,0.6755938019403189,0.7555760396518375,8392
ERR1467152,0.6322730087378019,0.7239249374891689,9811
ERR1467153,0.6984621131929261,0.7638024700641014,7216
ERR1467154,0.6843249897411532,0.7501117790252869,5835
ERR1470822,0.6591549906733047,0.7512258123507023,10225
ERR1470823,0.6445202080134242,0.7473690010468896,10261
ERR1470824,0.6515305995567497,0.7417276497520514,9042
ERR1470825,0.6432563382978419,0.7445787826764559,9441
ERR1470826,0.6008563715899045,0.6848249027237354,10047
ERR1470827,0.6578679052901149,0.7588764370942589,11274
ERR1470828,0.6575532374256684,0.744722263811948,9761
