query,p_genome,avg_abund,p_metag,metagenome name
bosTau9.fa.gz,0.00%,1,0.00%,ERR9456920
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR3610816
bosTau9.fa.gz,0.00%,1,0.00%,SRR7664969
bosTau9.fa.gz,0.00%,20.2,0.10%,SRR12180980
bosTau9.fa.gz,0.00%,3.2,0.00%,SRR6713626
bosTau9.fa.gz,0.00%,1.9,0.00%,SRR7287215
bosTau9.fa.gz,0.00%,4.6,0.00%,ERR2241662
bosTau9.fa.gz,0.00%,1.7,0.10%,SRR12272205
bosTau9.fa.gz,0.00%,19.3,0.00%,SRR12181035
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR1632445
bosTau9.fa.gz,0.00%,4.4,0.00%,ERR2592343
bosTau9.fa.gz,0.00%,5.8,0.00%,SRR15633998
bosTau9.fa.gz,0.00%,16.2,0.10%,ERR2241752
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR2607424
bosTau9.fa.gz,0.00%,3.7,0.00%,ERR6760079
bosTau9.fa.gz,0.10%,4.5,0.10%,SRR15604587
bosTau9.fa.gz,0.00%,7.5,0.10%,ERR2592336
bosTau9.fa.gz,0.00%,7.9,0.00%,ERR1414265
bosTau9.fa.gz,0.00%,1.5,0.10%,SRR1632820
bosTau9.fa.gz,0.00%,2.3,0.00%,SRR3187432
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR11267081
bosTau9.fa.gz,0.00%,3.8,0.00%,SRR10810020
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR12908327
bosTau9.fa.gz,0.20%,2.5,0.10%,ERR2241907
bosTau9.fa.gz,0.10%,5.5,0.10%,SRR15604488
bosTau9.fa.gz,0.00%,19.1,0.00%,SRR12181033
bosTau9.fa.gz,0.00%,3.6,0.00%,ERR2245479
bosTau9.fa.gz,0.00%,2,0.00%,SRR3183649
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR738548
bosTau9.fa.gz,0.10%,1.4,0.00%,ERR2245445
bosTau9.fa.gz,0.00%,13.3,0.00%,SRR10527395
bosTau9.fa.gz,0.00%,9.5,0.10%,ERR2094165
bosTau9.fa.gz,0.10%,1.5,0.00%,ERR2564007
bosTau9.fa.gz,0.00%,6.5,0.10%,SRR7610135
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR1631321
bosTau9.fa.gz,0.00%,4,0.00%,SRR5808807
bosTau9.fa.gz,0.00%,1.1,0.00%,SRR12272164
bosTau9.fa.gz,0.00%,2.5,0.00%,ERR2241673
bosTau9.fa.gz,0.00%,1,0.00%,SRR3988555
bosTau9.fa.gz,0.00%,1.2,0.10%,SRR1631705
bosTau9.fa.gz,0.00%,15.5,0.00%,ERR2241905
bosTau9.fa.gz,0.00%,2.9,0.00%,DRR014782
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR1631315
bosTau9.fa.gz,0.00%,2.3,0.10%,SRR13713017
bosTau9.fa.gz,0.00%,1,0.00%,SRR19759452
bosTau9.fa.gz,0.00%,1,0.00%,SRR3988603
bosTau9.fa.gz,0.00%,5.3,0.00%,ERR2241906
bosTau9.fa.gz,0.00%,2,0.00%,SRR2107178
bosTau9.fa.gz,0.00%,2.5,0.00%,SRR13827504
bosTau9.fa.gz,0.00%,10.5,0.20%,SRR6727993
bosTau9.fa.gz,0.00%,2.2,0.00%,ERR10695319
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2607498
bosTau9.fa.gz,0.10%,2,0.10%,ERR4398722
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR19981115
bosTau9.fa.gz,0.00%,1,0.00%,SRR1631664
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR10736386
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2762980
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR5382238
bosTau9.fa.gz,0.00%,2,0.00%,SRR13840094
bosTau9.fa.gz,0.00%,17.2,0.10%,SRR12181016
bosTau9.fa.gz,0.00%,1,0.00%,SRR13256671
bosTau9.fa.gz,0.00%,1,0.00%,SRR15429271
bosTau9.fa.gz,0.00%,1.3,0.00%,SRR2107218
bosTau9.fa.gz,0.20%,1.9,0.10%,ERR4398745
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR10527384
bosTau9.fa.gz,0.80%,2.2,0.30%,ERR4398794
bosTau9.fa.gz,0.00%,1,0.00%,ERR2696814
bosTau9.fa.gz,0.00%,2.8,0.00%,ERR2241881
bosTau9.fa.gz,0.00%,608.9,1.70%,ERR599277
bosTau9.fa.gz,0.00%,15,0.00%,SRR3017104
bosTau9.fa.gz,0.00%,1,0.00%,SRR6519254
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR1467148
bosTau9.fa.gz,0.00%,1,0.00%,SRR3989360
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2241779
bosTau9.fa.gz,0.00%,1.8,0.00%,ERR2607416
bosTau9.fa.gz,0.00%,3.1,0.00%,ERR5866866
bosTau9.fa.gz,0.00%,12.3,0.60%,ERR1868854
bosTau9.fa.gz,0.00%,2.1,0.00%,ERR2245482
bosTau9.fa.gz,0.00%,10,0.00%,SRR10914160
bosTau9.fa.gz,0.00%,2,0.00%,ERR5083272
bosTau9.fa.gz,0.10%,2,0.30%,SRR6216758
bosTau9.fa.gz,0.00%,3.3,0.20%,SRR16350227
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR2607418
bosTau9.fa.gz,0.00%,26.4,0.10%,ERR4869744
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2607450
bosTau9.fa.gz,0.00%,1,0.00%,ERR3219773
bosTau9.fa.gz,0.00%,16.6,0.00%,ERR2241687
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR2607464
bosTau9.fa.gz,0.00%,9.1,0.00%,SRR9219376
bosTau9.fa.gz,0.10%,1.9,0.00%,ERR2241724
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR7664985
bosTau9.fa.gz,0.00%,16.3,0.00%,SRR5788051
bosTau9.fa.gz,0.00%,1.7,0.00%,ERR2597421
bosTau9.fa.gz,0.20%,5.3,0.40%,SRR6757641
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2135449
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR2597514
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR7664988
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR10810029
bosTau9.fa.gz,0.00%,9.2,0.20%,ERR1868846
bosTau9.fa.gz,0.00%,1.6,0.00%,ERR2808649
bosTau9.fa.gz,0.00%,2,0.00%,SRR3188780
bosTau9.fa.gz,0.00%,2,0.00%,SRR7403892
bosTau9.fa.gz,0.00%,1.6,0.10%,SRR6514678
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR5808831
bosTau9.fa.gz,0.00%,3.9,0.00%,SRR9109406
bosTau9.fa.gz,0.00%,8.6,0.00%,SRR17188293
bosTau9.fa.gz,0.00%,1.6,0.00%,SRR7665009
bosTau9.fa.gz,0.00%,1,0.00%,SRR11267049
bosTau9.fa.gz,0.00%,1,0.00%,SRR18079830
bosTau9.fa.gz,0.00%,8.3,0.00%,SRR1917151
bosTau9.fa.gz,0.00%,1,0.00%,ERR589817
bosTau9.fa.gz,0.00%,15,0.10%,SRR7468287
bosTau9.fa.gz,0.10%,4.5,0.10%,SRR15604629
bosTau9.fa.gz,0.00%,2.2,0.00%,SRR10527389
bosTau9.fa.gz,0.00%,2.1,0.00%,SRR18825464
bosTau9.fa.gz,0.00%,1.3,0.00%,SRR15604625
bosTau9.fa.gz,0.10%,1.9,0.00%,ERR4398761
bosTau9.fa.gz,0.00%,4,0.00%,SRR4069403
bosTau9.fa.gz,0.00%,7.5,0.10%,SRR1873833
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR5382244
bosTau9.fa.gz,0.00%,3.3,0.00%,ERR2241860
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR12272154
bosTau9.fa.gz,0.00%,16,0.10%,DRR019499
bosTau9.fa.gz,0.00%,2,0.00%,SRR19715298
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR6514687
bosTau9.fa.gz,0.00%,1,0.00%,ERR414265
bosTau9.fa.gz,0.10%,6.5,0.20%,SRR1873853
bosTau9.fa.gz,0.00%,7.1,0.00%,SRR17188284
bosTau9.fa.gz,0.00%,7.2,0.00%,SRR4420322
bosTau9.fa.gz,0.00%,2.8,0.00%,SRR14629574
bosTau9.fa.gz,0.00%,2,0.00%,ERR1525441
bosTau9.fa.gz,0.00%,4.9,0.00%,ERR2144869
bosTau9.fa.gz,0.00%,1,0.00%,SRR2047830
