accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
DRR014782,0.591249987516993,0.9118848833306048,3721,Host-associated:Mammals:Respiratory system
DRR014785,0.5995328467152086,0.9112239077345408,4159,Host-associated:Mammals:Respiratory system
DRR019499,0.0041161773891303,0.0269580891048256,131,Host-associated:Insecta:Digestive system
DRR042462,0.832563748124978,0.93744686199274,2034,Host-associated:Human:Digestive system
DRR042463,0.7028029898557164,0.8892536000521275,2013,Host-associated:Human:Digestive system
DRR046069,0.6412345008597142,0.7318465032318174,1167,Host-associated:Human:Digestive system
DRR046087,0.6746913580246415,0.8242884484781132,986,Host-associated:Human:Digestive system
DRR092714,0.1020874862132407,0.3602800088708044,1788,Environmental:Aquatic:Marine
DRR121397,0.1825814714670082,0.2384777621860531,3533,Host-associated:Plants:Root
DRR121401,0.1492979908010784,0.1837240619452776,3031,Host-associated:Plants:Root
DRR163685,0.0322560232863398,0.4915677071714173,387,Environmental:Aquatic:Thermal springs
DRR163686,0.0095066382560189,0.2976900980340907,193,Environmental:Aquatic:Thermal springs
DRR163687,0.076137665273405,0.3511373397274279,1433,Environmental:Aquatic:Thermal springs
DRR163688,0.1682622099626686,0.447174793879896,142,Environmental:Aquatic:Thermal springs
DRR163689,0.0089326538122533,0.0595694811046874,263,Environmental:Aquatic:Thermal springs
DRR163690,0.0040095132550338,0.0437670606209719,195,Environmental:Aquatic:Thermal springs
DRR163691,0.0210451426341988,0.0264509865945309,143,Environmental:Aquatic:Thermal springs
DRR163692,0.0033603392007305,0.0195358495089156,142,Environmental:Aquatic:Thermal springs
DRR163693,0.0142225756625593,0.0381426682320506,168,Environmental:Aquatic:Thermal springs
ERR10695318,0.060847406918294,0.7975163492814545,535,Engineered:Food production:Dairy products
ERR10695319,0.0516355406990542,0.7696971398501069,453,Engineered:Food production:Dairy products
ERR10695321,0.0940026581016495,0.8022872604909862,756,Engineered:Food production:Dairy products
ERR10695324,0.1661410622215018,0.6019643906040765,824,Engineered:Food production:Dairy products
ERR10736389,0.1972670807452986,0.573312559316123,948,Engineered:Food production:Dairy products
ERR10736393,0.2123818730640703,0.5414280690219344,819,Engineered:Food production:Dairy products
ERR1190729,0.821853892641193,0.9666045884096244,2124,Host-associated:Human:Digestive system
ERR1190860,0.6716472303206353,0.9645677526615614,800,Host-associated:Human:Digestive system
ERR1201173,0.1324816851337459,0.2755422755796923,1572,Environmental:Aquatic:Freshwater
ERR1201180,0.1055515114362229,0.1938826604655899,1852,Environmental:Aquatic:Freshwater
ERR1414265,0.2404043066564751,0.3190737244471882,7512,Engineered:Wastewater:Industrial wastewater
ERR1414267,0.3378214815184462,0.4512351163172481,11958,Engineered:Wastewater:Industrial wastewater
ERR1414271,0.356478133163889,0.5685207762106004,12964,Engineered:Wastewater:Industrial wastewater
ERR1467141,0.3855408989510571,0.4863006281134936,4517,Engineered:Wastewater:Water and sludge
ERR1467142,0.453083661590919,0.5780691299165673,3196,Engineered:Wastewater:Water and sludge
ERR1467143,0.4468908063073546,0.559159342400169,4393,Engineered:Wastewater:Water and sludge
ERR1467144,0.4528104848182336,0.5740711832656884,3486,Engineered:Wastewater:Water and sludge
ERR1467145,0.4558884297517142,0.5991478203867584,4290,Engineered:Wastewater:Water and sludge
ERR1467146,0.4383038956241334,0.5549113979435573,2995,Engineered:Wastewater:Water and sludge
