accession,gather_ref_f_weighted,fmg_ref_f_weighted,f_mapped_reads,biome3,total_mapped_reads,total_n_reads,n_matches
DRR014782,0.868853428580935,0.9118848833306048,0.90519318966766,Host-associated:Mammals:Respiratory system,75612507,83531900,3721
DRR014785,0.8634828949789467,0.9112239077345408,0.904627557109024,Host-associated:Mammals:Respiratory system,83163638,91931356,4159
DRR121397,0.1534667218901313,0.2384777621860531,0.3712305967879825,Host-associated:Plants:Root,2121643,5715162,3533
DRR121401,0.1078621477383109,0.1837240619452776,0.2883946763698811,Host-associated:Plants:Root,1311236,4546672,3031
ERR10695318,0.7486435602595525,0.7975163492814545,0.8592686029616736,Engineered:Food production:Dairy products,123175020,143348680,535
ERR1414265,0.2244333194303926,0.3190737244471882,0.3172245440059131,Engineered:Wastewater:Industrial wastewater,20065130,63252136,7512
ERR1414271,0.4961115826581905,0.5685207762106004,0.6174339168744721,Engineered:Wastewater:Industrial wastewater,52839024,85578428,12964
ERR1869526,0.3547388734698665,0.3465145909046032,0.3782286910801206,Engineered:Food production:Fermented vegetables,30986940,81926466,633
ERR1869527,0.6351863645882112,0.6220181700566169,0.6945561121852296,Engineered:Food production:Fermented vegetables,65905139,94888142,1043
ERR1877479,0.9247323716272952,0.9316230393819976,0.9497201736434012,Engineered:Modeled:Simulated communities (microbial mixture),32277602,33986434,228
ERR1877482,0.9546234346741134,0.95071460939242,0.9739344389307256,Engineered:Modeled:Simulated communities (microbial mixture),30823007,31647928,225
ERR2094168,0.2575026916709991,0.2931094594563392,0.3683967967977672,Environmental:Aquatic:Aquaculture,26448645,71793906,6146
ERR2094174,0.4127048828433829,0.4287571190450703,0.5366350395553323,Environmental:Aquatic:Aquaculture,39749460,74071682,2381
ERR2094175,0.2382399501095136,0.2612044340903621,0.319721722764606,Environmental:Aquatic:Aquaculture,24155246,75550844,3785
ERR2114805,0.2745685899440874,0.319898074407387,0.4525451544916702,Host-associated:Plants:Phylloplane,8906686,19681320,3467
ERR2135457,0.7496481709186431,0.7875381926479635,0.8684508189024358,Engineered:Food production:Fermented beverages,157296772,181123408,743
ERR2200468,0.2590190794409113,0.3447006019924351,0.3559569966751345,Host-associated:Mammals:Digestive system,9872987,27736460,5178
ERR2241845,0.461689622336341,0.514368418506394,0.6606284748406549,Host-associated:Animal:Digestive system,46458095,70324088,10614
ERR2607414,0.5152050618222574,0.5933617561796564,0.6783544133632582,Engineered:Wastewater:Water and sludge,60957416,89860720,17699
ERR2607491,0.4738269756748219,0.5841596767974075,0.6344586259796283,Engineered:Wastewater:Water and sludge,12615621,19884072,9782
ERR2683635,0.3556674585236442,0.3743882382456126,0.4976379130382991,Environmental:Aquatic:Non-marine Saline and Alkaline,18114238,36400438,795
ERR2683639,0.3191784206870736,0.3774570626265265,0.5572433345599305,Environmental:Aquatic:Non-marine Saline and Alkaline,666307,1195720,344
ERR2750365,0.7849618836606699,0.8937163375224416,0.8881169937291903,Host-associated:Human:Digestive system,2044813,2302414,197
