accession,gather_ref_f_weighted,ref_f_weighted,f_mapped_reads,biome1,biome2,biome3,total_mapped_reads,total_n_reads,n_matches
DRR014782,0.868853428580935,0.949540674448318,0.90519318966766,Host-associated,Mammals,Respiratory system,75612507,83531900,12389
DRR014785,0.8634828949789467,0.9469769689286416,0.904627557109024,Host-associated,Mammals,Respiratory system,83163638,91931356,13328
DRR121397,0.1534667218901313,0.6485763826994442,0.3712305967879825,Host-associated,Plants,Root,2121643,5715162,17436
DRR121401,0.1078621477383109,0.6016574204546574,0.2883946763698811,Host-associated,Plants,Root,1311236,4546672,16482
ERR10695318,0.7486435602595525,0.877064262586372,0.8592686029616736,Engineered,Food production,Dairy products,123175020,143348680,13000
ERR1414265,0.2244333194303926,0.6076789591228493,0.3172245440059131,Engineered,Wastewater,Industrial wastewater,20065130,63252136,32479
ERR1414271,0.4961115826581905,0.7393847912295014,0.6174339168744721,Engineered,Wastewater,Industrial wastewater,52839024,85578428,40212
ERR1869526,0.3547388734698665,0.3680174656957262,0.3782286910801206,Engineered,Food production,Fermented vegetables,30986940,81926466,8084
ERR1869527,0.6351863645882112,0.6693439255757959,0.6945561121852296,Engineered,Food production,Fermented vegetables,65905139,94888142,9813
ERR1877479,0.9247323716272952,0.9733713200379868,0.9497201736434012,Engineered,Modeled,Simulated communities (microbial mixture),32277602,33986434,1885
ERR1877482,0.9546234346741134,0.9807502877962522,0.9739344389307256,Engineered,Modeled,Simulated communities (microbial mixture),30823007,31647928,1816
ERR2094168,0.2575026916709991,0.5616558655577504,0.3683967967977672,Environmental,Aquatic,Aquaculture,26448645,71793906,49523
ERR2094174,0.4127048828433829,0.6105719712744669,0.5366350395553323,Environmental,Aquatic,Aquaculture,39749460,74071682,23296
ERR2094175,0.2382399501095136,0.4728731064367428,0.319721722764606,Environmental,Aquatic,Aquaculture,24155246,75550844,36597
ERR2114805,0.2745685899440874,0.5875478004923891,0.4525451544916702,Host-associated,Plants,Phylloplane,8906686,19681320,23586
ERR2135457,0.7496481709186431,0.8898904269703629,0.8684508189024358,Engineered,Food production,Fermented beverages,157296772,181123408,32966
ERR2200468,0.2590190794409113,0.6708588458715905,0.3559569966751345,Host-associated,Mammals,Digestive system,9872987,27736460,24587
ERR2241845,0.461689622336341,0.7036002362506844,0.6606284748406549,Host-associated,Animal,Digestive system,46458095,70324088,50833
ERR2607414,0.5152050618222574,0.7705524949213652,0.6783544133632582,Engineered,Wastewater,Water and sludge,60957416,89860720,49703
ERR2607491,0.4738269756748219,0.7459833346246769,0.6344586259796283,Engineered,Wastewater,Water and sludge,12615621,19884072,26562
ERR2683635,0.3556674585236442,0.6586135643115942,0.4976379130382991,Environmental,Aquatic,Non-marine Saline and Alkaline,18114238,36400438,12111
ERR2683639,0.3191784206870736,0.6394068748595821,0.5572433345599305,Environmental,Aquatic,Non-marine Saline and Alkaline,666307,1195720,2805
ERR2750365,0.7849618836606699,0.939026349614396,0.8881169937291903,Host-associated,Human,Digestive system,2044813,2302414,445
ERR2848508,0.1663584635666627,0.4905952805869522,0.3340472669341073,Environmental,Aquatic,Freshwater,16140413,48317752,39763
ERR2889251,0.4681032346210113,0.7464993587501457,0.6340378357738462,Host-associated,Animal,Digestive system,17086413,26948570,19968
ERR3155587,0.020314430993033,0.5573401770523948,0.1587137174124972,Engineered,Solid waste,Composting,242253,1526352,7088
ERR3155596,0.0127300815539553,0.4752575903283418,0.0801706978023225,Engineered,Solid waste,Composting,127110,1585492,7604
ERR3155597,0.0121824311681141,0.4670072501453088,0.0763385713015647,Engineered,Solid waste,Composting,109908,1439744,7125
ERR3273281,0.7865929749873258,0.939177777090358,0.9471755920017528,Host-associated,Human,Skin,12217169,12898526,2666
ERR3890099,0.0100763809376102,0.4427819145367948,0.0412064426227058,Environmental,Terrestrial,Soil,1224116,29706908,32556
ERR4398707,0.7079219917818115,0.8772555205792268,0.8092695653072643,Host-associated,Animal,Digestive system,56063342,69276474,18128
