accession	gather_ref_f_weighted
DRR014782	0.868853428580935
DRR014785	0.8634828949789467
DRR121397	0.15346672189013139
DRR121401	0.10786214773831099
ERR10695318	0.7486435602595525
ERR1414265	0.2244333194303926
ERR1414271	0.49611158265819055
ERR1869526	0.35473887346986654
ERR1869527	0.6351863645882112
ERR1877479	0.9247323716272953
ERR1877482	0.9546234346741134
ERR2094168	0.25750269167099915
ERR2094174	0.41270488284338297
ERR2094175	0.2382399501095136
ERR2114805	0.2745685899440874
ERR2135457	0.7496481709186431
ERR2200468	0.2590190794409113
ERR2241845	0.461689622336341
ERR2607414	0.5152050618222574
ERR2607491	0.47382697567482196
ERR2683635	0.35566745852364423
ERR2683639	0.31917842068707364
ERR2750365	0.7849618836606699
ERR2848508	0.1663584635666627
ERR2889251	0.46810323462101133
ERR3155587	0.020314430993033
ERR3155596	0.012730081553955302
ERR3155597	0.012182431168114101
ERR3273281	0.7865929749873258
ERR3890099	0.010076380937610202
ERR4398707	0.7079219917818115
ERR575692	0.8138372883925312
ERR5866866	0.015667884625091
ERR5866883	0.0194054337503543
ERR5954451	0.196115579307927
ERR738544	0.3369327409435018
ERR738545	0.3307535289595824
ERR738546	0.3359261130901111
ERR9456921	0.169721407624633
SRR1023996	0.5399950562721281
SRR1024014	0.23479282985600916
SRR10527384	0.7300968140618781
SRR10810037	0.8869556462146804
SRR11267050	0.8123198999747321
SRR11267079	0.7757941206844601
SRR12456173	0.7867217729600939
SRR12479795	0.2791624112176828
SRR12480094	0.3520683734941936
SRR12908323	0.9409737129907088
SRR12908327	0.8824680676949492
SRR15604576	0.9072340723657215
SRR1702229	0.2358980715553937
SRR17255031	0.12169499517490269
SRR17257160	0.8527559249829195
SRR1873849	0.9655801966128668
SRR1916815	0.17666860650567082
SRR19759452	0.857931858003801
SRR2107175	0.2924331991474666
SRR2107179	0.5408895221142074
SRR2753158	0.4334058422419982
SRR3183878	0.47825742800665694
SRR3211795	0.6030617366571857
SRR3719568	0.5910725030763047
SRR3961740	0.7797609323676432
SRR4069403	0.0375337998778836
SRR4305336	0.8116849397846361
SRR490744	0.7764052180383143
SRR5248299	0.8104162997120429
SRR5438753	0.8159593417877885
SRR5574507	0.8132338645803634
SRR5808811	0.014581235955464601
SRR5808830	0.0215493177326766
SRR5924454	0.46256849251540566
SRR6323523	0.7844548573174221
SRR6490004	0.5600540176915758
SRR6490006	0.5567911349285708
SRR6714105	0.7702113714473451
SRR6765262	0.4057793539973461
SRR7299214	0.2897062042323917
SRR7610133	0.2896299966172027
SRR9109404	0.6123348133271594
SRR975540	0.4254577549907519
