accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
DRR014782,0.7336210201,0.9495406744,12389,Host-associated:Mammals:Respiratory system
DRR014785,0.7281046841,0.9469769689,13328,Host-associated:Mammals:Respiratory system
DRR019499,0.268764969,0.2590636422,21126,Host-associated:Insecta:Digestive system
DRR042462,0.9010708977,0.9650854937,3213,Host-associated:Human:Digestive system
DRR042463,0.8158205763,0.9379890529,4229,Host-associated:Human:Digestive system
DRR046069,0.771871434,0.8392320148,1896,Host-associated:Human:Digestive system
DRR046087,0.8017673549,0.902896283,1847,Host-associated:Human:Digestive system
DRR092714,0.4039057104,0.5728908333,17876,Environmental:Aquatic:Marine
DRR121397,0.6118255351,0.6485763827,17436,Host-associated:Plants:Root
DRR121401,0.5778809778,0.6016574205,16482,Host-associated:Plants:Root
DRR163685,0.2506075514,0.5929443356,9136,Environmental:Aquatic:Thermal springs
DRR163686,0.2735299209,0.6443779559,7516,Environmental:Aquatic:Thermal springs
DRR163687,0.3793180262,0.6162675381,22689,Environmental:Aquatic:Thermal springs
DRR163688,0.4011809656,0.6057029626,1265,Environmental:Aquatic:Thermal springs
DRR163689,0.2213182492,0.2372143422,11537,Environmental:Aquatic:Thermal springs
DRR163690,0.2173880134,0.2213479053,10791,Environmental:Aquatic:Thermal springs
DRR163691,0.2252107379,0.2684521739,6467,Environmental:Aquatic:Thermal springs
DRR163692,0.2487450356,0.2753319532,15717,Environmental:Aquatic:Thermal springs
DRR163693,0.2566507878,0.3059800259,9775,Environmental:Aquatic:Thermal springs
ERR10222453,0.3367910092,0.4242417608,16402,Host-associated:Birds:Digestive system
ERR10228864,0.6369888166,0.7812692694,5516,Host-associated:Human:Digestive system
ERR10695318,0.3000792498,0.8770642626,13000,Engineered:Food production:Dairy products
ERR10695319,0.2960560353,0.8543089762,13523,Engineered:Food production:Dairy products
ERR10695321,0.3620786228,0.8819300538,15422,Engineered:Food production:Dairy products
ERR10695324,0.4447437739,0.7929220847,9576,Engineered:Food production:Dairy products
ERR10736385,0.4716227408,0.9349579709,3942,Engineered:Food production:Dairy products
