accession,ref_f_unweighted,ref_f_weighted,n_matches,biome3
DRR014782,0.7336210201410953,0.949540674448318,12389,Host-associated:Mammals:Respiratory system
DRR014785,0.7281046841137468,0.9469769689286416,13328,Host-associated:Mammals:Respiratory system
DRR019499,0.2687649690445036,0.2590636422462792,21126,Host-associated:Insecta:Digestive system
DRR042462,0.9010708976730508,0.9650854936569222,3213,Host-associated:Human:Digestive system
DRR042463,0.8158205763166049,0.9379890528501524,4229,Host-associated:Human:Digestive system
DRR046069,0.7718714340053183,0.8392320148045339,1896,Host-associated:Human:Digestive system
DRR046087,0.8017673549152979,0.902896282955921,1847,Host-associated:Human:Digestive system
DRR092714,0.4039057104023435,0.5728908333117606,17876,Environmental:Aquatic:Marine
DRR121397,0.6118255350777734,0.6485763826994442,17436,Host-associated:Plants:Root
DRR121401,0.5778809777856193,0.6016574204546574,16482,Host-associated:Plants:Root
DRR163685,0.2506075514191815,0.5929443355933637,9136,Environmental:Aquatic:Thermal springs
DRR163686,0.2735299209414408,0.6443779559299299,7516,Environmental:Aquatic:Thermal springs
DRR163687,0.3793180261861977,0.6162675381345064,22689,Environmental:Aquatic:Thermal springs
DRR163688,0.4011809656130483,0.6057029626407617,1265,Environmental:Aquatic:Thermal springs
DRR163689,0.2213182491728492,0.2372143422361599,11537,Environmental:Aquatic:Thermal springs
DRR163690,0.2173880133818757,0.2213479052823315,10791,Environmental:Aquatic:Thermal springs
DRR163691,0.2252107379066395,0.2684521739130435,6467,Environmental:Aquatic:Thermal springs
DRR163692,0.2487450355819937,0.2753319532232921,15717,Environmental:Aquatic:Thermal springs
DRR163693,0.2566507878337341,0.3059800258752706,9775,Environmental:Aquatic:Thermal springs
ERR10695318,0.3000792497682656,0.877064262586372,13000,Engineered:Food production:Dairy products
ERR10695319,0.2960560353402104,0.8543089762169268,13523,Engineered:Food production:Dairy products
ERR10695321,0.3620786227864303,0.8819300537889762,15422,Engineered:Food production:Dairy products
ERR10695324,0.444743773946175,0.7929220847346573,9576,Engineered:Food production:Dairy products
ERR10736389,0.454507244226469,0.7194560497525287,7905,Engineered:Food production:Dairy products
ERR10736393,0.4412178391358421,0.6934711177380164,8225,Engineered:Food production:Dairy products
ERR1190729,0.8995546311575857,0.9811171110802824,3756,Host-associated:Human:Digestive system
ERR1190860,0.8053655570754439,0.9857799594826244,1678,Host-associated:Human:Digestive system
ERR1201173,0.470639525665489,0.5063207676945919,14340,Environmental:Aquatic:Freshwater
ERR1201180,0.4726403203081939,0.5019589441067811,13278,Environmental:Aquatic:Freshwater
ERR1414265,0.563885254151563,0.6076789591228493,32479,Engineered:Wastewater:Industrial wastewater
ERR1414267,0.5969588982453785,0.6911561962267262,42665,Engineered:Wastewater:Industrial wastewater
ERR1414271,0.5995329080624145,0.7393847912295014,40212,Engineered:Wastewater:Industrial wastewater
ERR1467141,0.6237220263295458,0.6997141690485913,12417,Engineered:Wastewater:Water and sludge
ERR1467142,0.6680335228970599,0.7534167532189195,7601,Engineered:Wastewater:Water and sludge
ERR1467143,0.6651997363773048,0.7420876744643208,10361,Engineered:Wastewater:Water and sludge
ERR1467144,0.6695757003951813,0.7516761929694431,8511,Engineered:Wastewater:Water and sludge
ERR1467145,0.6691163976202471,0.7657489500699953,10104,Engineered:Wastewater:Water and sludge
ERR1467146,0.6595803936127886,0.7405307866469196,7475,Engineered:Wastewater:Water and sludge
ERR1467147,0.6620421865827619,0.752128694500998,10645,Engineered:Wastewater:Water and sludge
ERR1467148,0.6612636303860214,0.7471843081723898,9894,Engineered:Wastewater:Water and sludge
ERR1467149,0.6735001223617839,0.765229669759668,11107,Engineered:Wastewater:Water and sludge
ERR1467150,0.6712563662880295,0.7547608727062564,8528,Engineered:Wastewater:Water and sludge
ERR1467151,0.6755938019403189,0.7555760396518375,8392,Engineered:Wastewater:Water and sludge
ERR1467152,0.6322730087378019,0.7239249374891689,9811,Engineered:Wastewater:Water and sludge
ERR1467153,0.6984621131929261,0.7638024700641014,7216,Engineered:Wastewater:Water and sludge
ERR1467154,0.6843249897411532,0.7501117790252869,5835,Engineered:Wastewater:Water and sludge
ERR1470822,0.6591549906733047,0.7512258123507023,10225,Engineered:Wastewater:Water and sludge
ERR1470823,0.6445202080134242,0.7473690010468896,10261,Engineered:Wastewater:Water and sludge
ERR1470824,0.6515305995567497,0.7417276497520514,9042,Engineered:Wastewater:Water and sludge
ERR1470825,0.6432563382978419,0.7445787826764559,9441,Engineered:Wastewater:Water and sludge
ERR1470826,0.6008563715899045,0.6848249027237354,10047,Engineered:Wastewater:Water and sludge
ERR1470827,0.6578679052901149,0.7588764370942589,11274,Engineered:Wastewater:Water and sludge
ERR1470828,0.6575532374256684,0.744722263811948,9761,Engineered:Wastewater:Water and sludge
ERR1470829,0.6504001049451715,0.7454950874503519,8499,Engineered:Wastewater:Water and sludge
ERR1470830,0.6558451943059116,0.759666413949962,11734,Engineered:Wastewater:Water and sludge
ERR1512984,0.6138118719756407,0.7171395162779248,9953,Engineered:Wastewater:Water and sludge
ERR1512985,0.6525857319024356,0.7384027902231903,8711,Engineered:Wastewater:Water and sludge
ERR1512986,0.6488314584942685,0.7223934959349594,9497,Engineered:Wastewater:Water and sludge
ERR1512987,0.6773879142295822,0.7645944863250664,9408,Engineered:Wastewater:Water and sludge
ERR1512988,0.633363686752164,0.6897851650352347,11013,Engineered:Wastewater:Water and sludge
ERR1512993,0.6949076449460267,0.7637225087787093,7002,Engineered:Wastewater:Water and sludge
ERR1512994,0.6741603678014045,0.7306639812605354,6283,Engineered:Wastewater:Water and sludge
ERR1512997,0.6712158808927611,0.7340354741745256,5859,Engineered:Wastewater:Water and sludge
ERR1512998,0.6980297547244088,0.7716167589065887,5525,Engineered:Wastewater:Water and sludge
ERR1513004,0.6741828459076861,0.7470072267887682,10290,Engineered:Wastewater:Water and sludge
ERR1513005,0.667849846255252,0.7460873054800018,10563,Engineered:Wastewater:Water and sludge
ERR1513006,0.6771989189424805,0.7477219380078243,9894,Engineered:Wastewater:Water and sludge
ERR1513007,0.689993718446463,0.7758573325397189,8912,Engineered:Wastewater:Water and sludge
ERR1514427,0.6286182898173968,0.6927992336627649,10068,Engineered:Wastewater:Water and sludge
ERR1514428,0.6424493291458433,0.7103311963623702,10739,Engineered:Wastewater:Water and sludge
ERR1514429,0.6818017801295212,0.7644463142149301,10865,Engineered:Wastewater:Water and sludge
ERR1514430,0.6635755790808783,0.7569146549403213,10484,Engineered:Wastewater:Water and sludge
ERR1525434,0.7002441218038524,0.7538168746035102,3863,Engineered:Wastewater:Water and sludge
ERR1525436,0.6892328861368848,0.7530845275500039,6627,Engineered:Wastewater:Water and sludge
ERR1525437,0.7034011869055135,0.7667743921206525,3817,Engineered:Wastewater:Water and sludge
ERR1525439,0.628903944002389,0.678409358297758,8518,Engineered:Wastewater:Water and sludge
ERR1525440,0.665562758361067,0.7303566723958399,9743,Engineered:Wastewater:Water and sludge
ERR1525443,0.6983026308265508,0.7802405278632748,10893,Engineered:Wastewater:Water and sludge
ERR1525444,0.7155979935933795,0.7763678389153468,7244,Engineered:Wastewater:Water and sludge
ERR1525445,0.6672878667719276,0.7377159408296265,10791,Engineered:Wastewater:Water and sludge
ERR1525446,0.7180830759620763,0.7837904751799388,6604,Engineered:Wastewater:Water and sludge
ERR1543776,0.7101572739185928,0.7761340849759751,3154,Host-associated:Birds:Digestive system
ERR1543784,0.7328186305528582,0.8070721672411876,3188,Host-associated:Birds:Digestive system
ERR1543785,0.7178568870423591,0.8092115014080332,2861,Host-associated:Birds:Digestive system
ERR1543794,0.7843337949303059,0.8177477944992216,3358,Host-associated:Birds:Digestive system
ERR1543994,0.5742226183399304,0.889338327091136,6980,Host-associated:Human:Digestive system
ERR1544002,0.6537554854384233,0.8941415297566664,11828,Host-associated:Human:Digestive system
ERR1562574,0.7094003665873503,0.8997703176588807,8264,Host-associated:Mammals:Digestive system
ERR1620360,0.8858620408825439,0.975299104494886,4657,Host-associated:Human:Digestive system
ERR1725402,0.7926158156285057,0.8714069591527988,3974,Host-associated:Birds:Digestive system
ERR1726683,0.2773015219387194,0.4095558877126886,58302,Environmental:Aquatic:Marine
ERR1726689,0.2560706790529221,0.2609208442526803,44366,Environmental:Aquatic:Marine
ERR1726712,0.2513751362478439,0.2843519869116799,92445,Environmental:Aquatic:Marine
ERR1726799,0.2706161405477663,0.3321822746857086,62059,Environmental:Aquatic:Marine
ERR1726902,0.2703329256437689,0.2859246082913834,53247,Environmental:Aquatic:Marine
ERR1726914,0.2977285063697661,0.3989253910007072,111297,Environmental:Aquatic:Marine
ERR1726918,0.2635345457347717,0.2845613288334177,83030,Environmental:Aquatic:Marine
ERR1731826,0.7372994158098958,0.8990803118613276,3973,Host-associated:Birds:Digestive system
ERR1731834,0.7678011383432097,0.8607566866812227,4067,Host-associated:Birds:Digestive system
ERR1736742,0.8131170662904506,0.8566265523472644,2350,Host-associated:Birds:Digestive system
ERR1736743,0.8132576935030653,0.8742331288343558,3817,Host-associated:Birds:Digestive system
ERR1736747,0.8200542184605164,0.8851653681279139,4422,Host-associated:Birds:Digestive system
ERR1855278,0.2961822914513218,0.3503097728332556,9155,Environmental:Aquatic:Marine
ERR1868848,0.3209033613445307,0.3601332637578774,915,Host-associated:Fish:Digestive system
ERR1869526,0.339486557678242,0.3680174656957262,8084,Engineered:Food production:Fermented vegetables
ERR1869527,0.4310335262672544,0.6693439255757959,9813,Engineered:Food production:Fermented vegetables
ERR1869528,0.4436551322242748,0.91499547981872,13169,Engineered:Food production:Fermented vegetables
ERR1869529,0.4394816578290135,0.3951691915699907,6040,Engineered:Food production:Fermented vegetables
ERR1869530,0.3808976735679064,0.4923767889292999,7083,Engineered:Food production:Fermented vegetables
ERR1877474,0.7701352145794684,0.970652114893848,2028,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877475,0.7620236905950106,0.9712575468290418,2108,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877476,0.7728648409241718,0.9684574461609632,2046,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877477,0.8091743119265818,0.9668180598673872,1415,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877478,0.7896868671132256,0.973720716088064,1625,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877479,0.7784533254243828,0.9733713200379868,1885,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877480,0.7640575079871246,0.981454315780895,1996,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877481,0.7459372485919198,0.9811107964054896,1994,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877482,0.768527388313022,0.9807502877962522,1816,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1999834,0.9125082617315784,0.9295156832111524,1650,Host-associated:Human:Digestive system
ERR2017147,0.438115414851009,0.6027558235574566,14054,Environmental:Aquatic:Marine
ERR2020034,0.5589557374406441,0.8046077888203021,12893,Host-associated:Mammals:Digestive system
ERR2044295,0.7585975988901992,0.8194749282458214,3662,Host-associated:Birds:Digestive system
ERR2044297,0.7396608257233757,0.8268858116805047,4959,Host-associated:Birds:Digestive system
ERR2044644,0.8037316110511425,0.8644988430154671,3206,Host-associated:Birds:Digestive system
ERR209194,0.8059217558610604,0.9223379560740432,3635,Host-associated:Human:Digestive system
ERR209195,0.9051834470988834,0.9518451300665456,1215,Host-associated:Human:Digestive system
ERR2094164,0.4830505881596105,0.6542219105575444,49774,Environmental:Aquatic:Aquaculture
ERR2094165,0.3485963344767489,0.3565347128411678,64486,Environmental:Aquatic:Aquaculture
ERR2094166,0.4289010449537206,0.5654317474906375,41677,Environmental:Aquatic:Aquaculture
ERR2094167,0.4303525431541724,0.6801525389897736,38930,Environmental:Aquatic:Aquaculture
ERR2094168,0.4206789457068391,0.5616558655577504,49523,Environmental:Aquatic:Aquaculture
ERR2094169,0.4401639757890868,0.632264182715743,46639,Environmental:Aquatic:Aquaculture
ERR2094170,0.4796916208047232,0.6533642625406048,51679,Environmental:Aquatic:Aquaculture
