biome1,biome2,biome3,accession,experiment_type,platform,model
Engineered,Engineered:Solid waste,Engineered:Solid waste:Landfill,SRR7299214,metagenomic,ILLUMINA,Illumina MiSeq
Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria,SRR6490006,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria,SRR6490005,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria,SRR6490004,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria,SRR6490003,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria,SRR6490002,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Microbial,Host-associated:Microbial:Bacteria,SRR6490001,metagenomic,ILLUMINA,Illumina HiSeq 2000
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182861,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182864,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182867,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219373,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219372,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219371,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219370,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182871,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219377,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219376,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219375,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9219374,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182858,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182856,metagenomic,ILLUMINA,NextSeq 500
Host-associated,Host-associated:Invertebrates,Host-associated:Invertebrates:Cnidaria,SRR9182863,metagenomic,ILLUMINA,NextSeq 500
