accession,assembly_f_unweighted,assembly_f_weighted,assembly_f_readmapped,assembly_f_readmapped_w,ref_f_unweighted,ref_f_weighted,f_reads_mapped,assembly_refmap_isect_w,yaml_n_bases,yaml_n_reads,yaml_kmers,yaml_known_hashes,yaml_unknown_hashes,yaml_total_hashes,w_isect_all,w_isect_matches,w_no_isect,w_isect_mapassem,w_mapassem_only,w_map_only,biome1,biome2,biome3
DRR014782,0.276437581784873,0.8443733283882373,0.4236388380005234,0.8822876818703371,0.5369798482072403,0.868853428580935,0.90519318966766,0.7983687659917383,8349341510,83531900,962104827,512950,442300,955250,4684098,5097643,348903,4954008,5176463,4755920,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Respiratory system
DRR014785,0.2748765067665782,0.8315284176405726,0.4408175510837842,0.8767258510755108,0.5511750169525876,0.8634828949789467,0.904627557109024,0.7833351118039414,9188299904,91931356,1135708758,628307,511634,1139941,5065218,5583479,383222,5376845,5669111,5169584,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Respiratory system
DRR121397,0.1379949711783521,0.2131004061652579,0.265706515231856,0.3250958314797675,0.1102486472925782,0.1534667218901313,0.3712305967879825,0.0831113315505013,1346724223,5715162,873225797,96682,780263,876945,97524,180080,733798,250052,381472,121939,Host-associated,Host-associated:Plants,Host-associated:Plants:Root
DRR121401,0.1134726358782582,0.1648837743917084,0.2189018145206288,0.2617155969828452,0.0844048436814072,0.1078621477383109,0.2883946763698811,0.0517693363146137,1106773348,4546672,804829188,68072,738422,806494,50219,104632,676865,159941,253878,65327,Host-associated,Host-associated:Plants,Host-associated:Plants:Root
ERR10695318,0.0909147429081055,0.921020528155382,0.9219880887044216,0.9953513761156588,0.0534411124069537,0.7486435602595525,0.8592686029616736,0.7466188746833932,21495510640,143348680,938530613,49855,883041,932896,12893990,12928956,70996,15905879,17189561,12919671,Engineered,Engineered:Food production,Engineered:Food production:Dairy products
ERR1414265,0.0807487385560475,0.2093767875380262,0.1219632930596385,0.2491525723239549,0.1870242983199441,0.2244333194303926,0.3172245440059131,0.0707172132090027,6030642079,63252136,1728958996,320765,1394333,1715098,292125,927141,2521272,864930,1029257,346641,Engineered,Engineered:Wastewater,Engineered:Wastewater:Industrial wastewater
ERR1414271,0.1393346091858987,0.4593260946980063,0.298388853167326,0.6073290280820502,0.2744288535029305,0.4961115826581905,0.6174339168744721,0.3346825250808974,8401457570,85578428,2475385596,686725,1815654,2502379,1948267,2887996,1742633,2673838,3535422,2344800,Engineered,Engineered:Wastewater,Engineered:Wastewater:Industrial wastewater
ERR1869526,0.0661938021488583,0.846113388654283,0.6320116263936488,0.9608124942189952,0.1085907335907299,0.3547388734698665,0.3782286910801206,0.3377724239436109,8272642574,81926466,555451436,60075,493149,553224,1873347,1967446,193290,4692697,5328840,1943396,Engineered,Engineered:Food production,Engineered:Food production:Fermented vegetables
ERR1869527,0.1016900578091479,0.8642341575245305,0.7272783846191638,0.97270425513872,0.1646643630348905,0.6351863645882112,0.6945561121852296,0.5945947894871346,9580767930,94888142,616110013,100549,510081,610630,4122818,4404273,146728,5992451,6744564,4361737,Engineered,Engineered:Food production,Engineered:Food production:Fermented vegetables
ERR1877479,0.6227575948796539,0.9528742284849966,0.9114456564199646,0.9907494793293588,0.6183479070885533,0.9247323716272952,0.9497201736434012,0.9101682463839448,2530504096,33986434,133592753,82312,50804,133116,1366553,1388420,10665,1430673,1487540,1385196,Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (microbial mixture)
ERR1877482,0.4686580857551472,0.9465328174721276,0.7879237612096027,0.976778376181864,0.574840119808952,0.9546234346741134,0.9739344389307256,0.9342741981639614,2345552347,31647928,111735036,63909,47268,111177,1305921,1334365,11003,1323054,1365333,1312911,Engineered,Engineered:Modeled,Engineered:Modeled:Simulated communities (microbial mixture)
ERR2094168,0.2517827753420449,0.5974947299486485,0.4206161428194471,0.7008228275083318,0.1072709220194187,0.2575026916709991,0.3683967967977672,0.221147296744269,10764368404,71793906,3632981623,389049,3237740,3626789,1903232,2216114,2428292,5142135,6031406,2069644,Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture
ERR2094174,0.1772066996145792,0.8188059516008767,0.4683272110785872,0.897162482771087,0.0937498887456038,0.4127048828433829,0.5366350395553323,0.395752988227851,11102266634,74071682,1394418646,131666,1272773,1404439,3502968,3653016,850819,7247579,7941144,3593579,Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture
ERR2094175,0.2283653220665339,0.7058682195539875,0.472273720775926,0.8226105327939182,0.0905588514629728,0.2382399501095136,0.319721722764606,0.2154559055187112,11320685370,75550844,2485888785,222740,2236876,2459616,1942324,2147721,1511835,6363362,7415792,2060403,Environmental,Environmental:Aquatic,Environmental:Aquatic:Aquaculture
ERR2114805,0.1986826438243072,0.5003664847470619,0.4252609589848893,0.6599976487255371,0.100582906681604,0.2745685899440874,0.4525451544916702,0.234365191970525,2956454805,19681320,1232146604,124515,1113419,1237934,552203,646930,756654,1178944,1555066,602484,Host-associated,Host-associated:Plants,Host-associated:Plants:Phylloplane
ERR2135457,0.0103001571070257,0.8159157470949906,0.7293463323975162,0.967481108254984,0.0105371957774022,0.7496481709186431,0.8684508189024358,0.7472480234346075,27142756344,181123408,2542150864,26761,2512909,2539670,16079478,16131125,681932,17557087,20818511,16113308,Engineered,Engineered:Food production,Engineered:Food production:Fermented beverages
ERR2200468,0.0335154859481688,0.0891600237031275,0.065485664104951,0.1282222260179928,0.2178518760799095,0.2590190794409113,0.3559569966751345,0.0492661096519293,2335571753,27736460,1239858121,268419,963698,1232117,74985,394269,1025658,135704,195175,92946,Host-associated,Host-associated:Mammals,Host-associated:Mammals:Digestive system
ERR2241845,0.2113643842106802,0.517299714703569,0.5559909339714842,0.7378934946671079,0.2334762832624252,0.461689622336341,0.6606284748406549,0.3640057200498762,10596392942,70324088,4062953903,950075,3119182,4069257,3093250,3923359,1780256,4395909,6270492,3476286,Host-associated,Host-associated:Animal,Host-associated:Animal:Digestive system
ERR2607414,0.2073438247157184,0.6263672275409328,0.4740975681407351,0.7710583996177593,0.2675672401258955,0.5152050618222574,0.6783544133632582,0.4191123482991556,13550192384,89860720,3767253453,998242,2732566,3730808,4532327,5571494,1914231,6773599,8338325,5009930,Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge
ERR2607491,0.1800527509464593,0.4004535376605844,0.3594382324839947,0.5447902900001169,0.3165284099116083,0.4738269756748219,0.6344586259796283,0.3047749687978787,2996935749,19884072,1378377315,431671,932096,1363767,729648,1134374,818721,958709,1304265,863292,Engineered,Engineered:Wastewater,Engineered:Wastewater:Water and sludge
ERR2683635,0.1874121310315046,0.6629507947412305,0.5682528808034105,0.8580626947959439,0.1233185166906342,0.3556674585236442,0.4976379130382991,0.3077749692783963,3384265122,36400438,616548085,75961,540013,615974,704278,813871,292220,1517019,1963498,781302,Environmental,Environmental:Aquatic,Environmental:Aquatic:Non-marine Saline and Alkaline
