sample	phylum	read_count	contig_count	bin_count	contig_percent	bin_percent
ERR1135212	p__Bacteroidota	1054336	813974	160621	77.20	15.23
ERR1135212	p__Spirochaetota	120325	78733	20292	65.43	16.86
ERR1135212	p__Verrucomicrobiota	79356	50045	13522	63.06	17.04
ERR1135212	p__Planctomycetota	7175	2988	6	41.64	0.08
ERR1135212	p__Bacillota	829339	359444	156286	43.34	18.84
ERR1135212	p__Fibrobacterota	9225	1433	29	15.53	0.31
ERR1135212	p__Desulfobacterota_I	5782	1385	0	23.95	0.00
ERR1135212	p__Cyanobacteriota	17374	11106	9942	63.92	57.22
ERR1135212	p__Pseudomonadota	14138	2362	37	16.71	0.26
ERR1135212	p__Campylobacterota	5657	1045	0	18.47	0.00
ERR1135212	p__Elusimicrobiota	3834	1706	5	44.50	0.13
ERR1135212	p__Myxococcota	1179	24	5	2.04	0.42
ERR1135212	p__Actinomycetota	4085	655	26	16.03	0.64
ERR1135212	p__Patescibacteriota	1495	104	0	6.96	0.00
ERR1135212	p__Vulcanimicrobiota	296	0	0	0.00	0.00
ERR1135212	p__Cloacimonadota	24	4	0	16.67	0.00
ERR1135212	p__Desulfobacterota	124	41	7	33.06	5.65
ERR1135212	p__Synergistota	43	3	0	6.98	0.00
ERR1135212	p__Chlamydiota	37	21	0	56.76	0.00
ERR1135212	p__Thermotogota	7	0	0	0.00	0.00
ERR1135212	p__Bdellovibrionota_B	13	0	0	0.00	0.00
ERR1135212	p__Bacteroidota_A	49	16	0	32.65	0.00
ERR1135212	p__Chloroflexota	90	32	13	35.56	14.44
ERR1135212	p__Deinococcota	7	0	0	0.00	0.00
ERR1135212	p__Acidobacteriota	69	24	0	34.78	0.00
ERR1135212	p__Armatimonadota	10	4	0	40.00	0.00
ERR1135212	p__Aquificota	2	0	0	0.00	0.00
ERR1135212	p__Fusobacteriota	14	4	0	28.57	0.00
ERR1135212	p__Omnitrophota	29	21	0	72.41	0.00
ERR1135212	p__Electryoneota	2	0	0	0.00	0.00
ERR1135212	p__Latescibacterota	1	0	0	0.00	0.00
ERR1135212	p__Nitrospirota	10	0	0	0.00	0.00
ERR1135212	p__Chrysiogenota	8	6	0	75.00	0.00
ERR1135212	p__Gemmatimonadota	19	18	11	94.74	57.89
ERR1135212	p__Myxococcota_A	3	0	0	0.00	0.00
ERR1135212	p__Marinisomatota	14	11	0	78.57	0.00
ERR1135212	p__Muiribacteriota	7	4	0	57.14	0.00
ERR1135212	p__Methylomirabilota	2	0	0	0.00	0.00
ERR1135212	p__Desulfobacterota_G	2	0	0	0.00	0.00
ERR1135212	p__Zhuqueibacterota	1	0	0	0.00	0.00
ERR1135212	p__UBA10199	1	0	0	0.00	0.00
ERR1135212	p__SAR324	6	0	0	0.00	0.00
ERR1135212	p__Desulfobacterota_D	1	0	0	0.00	0.00
ERR1135212	p__Bdellovibrionota	13	0	0	0.00	0.00
ERR1135212	p__Desulfobacterota_B	3	0	0	0.00	0.00
ERR1135212	p__Sumerlaeota	1	0	0	0.00	0.00
ERR1135212	p__PUNC01	3	0	0	0.00	0.00
ERR1135212	p__UBA3054	1	0	0	0.00	0.00
ERR1135212	p__CG2-30-53-67	1	0	0	0.00	0.00
ERR1135212	p__Sysuimicrobiota	1	0	0	0.00	0.00
ERR1135212	p__Calditrichota	2	2	0	100.00	0.00
ERR1135212	p__Bipolaricaulota	2	0	0	0.00	0.00
ERR1135212	p__Hydrogenedentota	2	0	0	0.00	0.00
ERR1135212	p__Atribacterota	1	0	0	0.00	0.00
ERR1135212	p__UBP6	2	0	0	0.00	0.00
ERR1135212	p__Babelota	5	0	0	0.00	0.00
ERR1135212	p__Nitrospinota	10	9	0	90.00	0.00
ERR1135212	p__CSSED10-310	3	0	0	0.00	0.00
ERR1135212	p__Joyebacterota	1	0	0	0.00	0.00
ERR1135212	p__Caldisericota	1	0	0	0.00	0.00
ERR1135212	p__DUMJ01	1	0	0	0.00	0.00
ERR1135212	p__WOR-3	1	0	0	0.00	0.00
ERR1135212	p__UBA4055	2	0	0	0.00	0.00
ERR1135212	p__Zixibacteria	1	0	0	0.00	0.00
ERR1135212	p__Desulfobacterota_E	1	0	0	0.00	0.00
ERR1135212	p__Krumholzibacteriota	5	5	0	100.00	0.00
ERR1135212	p__Thermoplasmatota	9976	3035	0	30.42	0.00
ERR1135212	p__Methanobacteriota	1380	152	0	11.01	0.00
ERR1135212	p__Halobacteriota	57	29	0	50.88	0.00
ERR1135212	p__Nanobdellota	1	0	0	0.00	0.00
ERR1135212	p__Aenigmatarchaeota	1	0	0	0.00	0.00
ERR1135212	p__Thermoproteota	2	0	0	0.00	0.00
ERR1135212	p__Asgardarchaeota	2	0	0	0.00	0.00
ERR1135219	p__Bacteroidota	650710	489831	59081	75.28	9.08
ERR1135219	p__Myxococcota	38837	37210	35546	95.81	91.53
ERR1135219	p__Bacillota	1456496	771328	214028	52.96	14.69
ERR1135219	p__Verrucomicrobiota	13042	2219	1	17.01	0.01
ERR1135219	p__Spirochaetota	93021	74676	36498	80.28	39.24
ERR1135219	p__Fibrobacterota	10393	4068	0	39.14	0.00
ERR1135219	p__Planctomycetota	2797	27	23	0.97	0.82
ERR1135219	p__Cyanobacteriota	16606	6039	1	36.37	0.01
ERR1135219	p__Pseudomonadota	20711	11729	69	56.63	0.33
ERR1135219	p__Campylobacterota	20497	16570	14301	80.84	69.77
ERR1135219	p__Desulfobacterota_I	2133	122	0	5.72	0.00
ERR1135219	p__Actinomycetota	4893	522	2	10.67	0.04
ERR1135219	p__Patescibacteriota	1770	506	0	28.59	0.00
ERR1135219	p__Chrysiogenota	139	0	0	0.00	0.00
ERR1135219	p__Vulcanimicrobiota	37	43	0	116.22	0.00
ERR1135219	p__Elusimicrobiota	407	420	0	103.19	0.00
ERR1135219	p__Cloacimonadota	10	0	0	0.00	0.00
ERR1135219	p__Fusobacteriota	25	4	0	16.00	0.00
ERR1135219	p__Synergistota	15	0	0	0.00	0.00
ERR1135219	p__Desulfobacterota_G	6	0	0	0.00	0.00
ERR1135219	p__Chloroflexota	20	0	0	0.00	0.00
ERR1135219	p__Armatimonadota	9	0	0	0.00	0.00
ERR1135219	p__Desulfobacterota	33	7	0	21.21	0.00
ERR1135219	p__Chlamydiota	4	0	0	0.00	0.00
ERR1135219	p__Acidobacteriota	30	10	0	33.33	0.00
ERR1135219	p__Bacteroidota_A	17	6	0	35.29	0.00
ERR1135219	p__RBG-13-61-14	1	0	0	0.00	0.00
ERR1135219	p__Deinococcota	4	0	0	0.00	0.00
ERR1135219	p__PUNC01	1	0	0	0.00	0.00
ERR1135219	p__Bdellovibrionota_B	2	0	0	0.00	0.00
ERR1135219	p__Gemmatimonadota	2	0	0	0.00	0.00
ERR1135219	p__UBA10199	2	0	0	0.00	0.00
ERR1135219	p__Thermotogota	24	23	0	95.83	0.00
ERR1135219	p__Marinisomatota	2	0	0	0.00	0.00
ERR1135219	p__Methylomirabilota	2	0	0	0.00	0.00
ERR1135219	p__Desulfobacterota_B	1	0	0	0.00	0.00
ERR1135219	p__Babelota	10	0	0	0.00	0.00
ERR1135219	p__Aerophobota	1	0	0	0.00	0.00
