sample	taxon	contig_p	bin_p
ERR1135212	d__Bacteria	61.51684063253451	16.74835000886618
ERR1135212	d__Archaea	28.163587004115946	0.0
ERR1135219	d__Bacteria	60.674232925012596	15.41330418287625
ERR1135219	d__Archaea	33.2890365448505	0.0
ERR1135259	d__Bacteria	60.01008946188542	13.50853574445602
ERR1135259	d__Archaea	59.272651050673375	43.11691033904522
ERR1135262	d__Bacteria	64.54897332235335	18.356724588198446
ERR1135262	d__Archaea	17.595267574631997	0.0
ERR1135273	d__Bacteria	77.12971753601727	21.806468577438864
ERR1135273	d__Archaea	37.29641693811075	0.0
ERR1135298	d__Bacteria	53.680209612035746	15.839108310257217
ERR1135298	d__Archaea	59.43176525384257	22.602967595981102
ERR1135314	d__Bacteria	52.49648479301911	12.230965389510999
ERR1135314	d__Archaea	9.759547383309759	0.4352083560004352
ERR1135319	d__Bacteria	53.36395268698594	17.744480047258886
ERR1135319	d__Archaea	69.69707272294563	27.902628089620237
ERR1135340	d__Bacteria	56.512057431396975	14.985591353784915
ERR1135340	d__Archaea	16.432291666666668	0.0
ERR1135348	d__Bacteria	55.988980237133475	15.447479263570706
ERR1135348	d__Archaea	11.955726308086351	0.34760336626417854
ERR1135356	d__Bacteria	53.283439747079264	13.27446609924839
ERR1135356	d__Archaea	25.748890532544376	0.0
ERR1135361	d__Bacteria	47.880696544128526	7.110098026860127
ERR1135361	d__Archaea	4.176755447941889	0.0
ERR1135363	d__Bacteria	53.866370172971266	12.888062182872883
ERR1135363	d__Archaea	37.33370873513057	0.5771802632505103
ERR1135365	d__Bacteria	50.75180616439968	8.843735217861722
ERR1135365	d__Archaea	35.105162523900574	0.09177820267686425
ERR1135371	d__Bacteria	50.92125599855688	15.865488948863094
ERR1135371	d__Archaea	16.242326657945053	0.04025359766529134
ERR1135378	d__Bacteria	57.884830856013735	17.461420005341143
ERR1135378	d__Archaea	78.8267707496269	0.67730455745609
ERR1135387	d__Bacteria	56.021991587937904	16.04464309418248
ERR1135387	d__Archaea	75.24783800885889	0.16522533923926033
ERR1135395	d__Bacteria	26.465535418204123	0.978780705201315
ERR1135395	d__Archaea	40.43140205668422	0.0
ERR1135396	d__Bacteria	53.823169176091966	10.575259013996309
ERR1135396	d__Archaea	58.64312267657993	0.0
ERR1135402	d__Bacteria	51.69373564975316	23.828597074338344
ERR1135402	d__Archaea	49.946120689655174	0.0
ERR1135425	d__Bacteria	53.69738752449689	14.497732888959721
ERR1135425	d__Archaea	83.35167200880257	0.0
ERR1135428	d__Bacteria	34.41240702022559	6.004230556770177
ERR1135428	d__Archaea	9.966246224906733	0.0
ERR1135431	d__Bacteria	55.795223956179015	19.58894511562873
