query,p_genome,avg_abund,p_metag,metagenome name,accession,biome2
bosTau9.fa.gz,0.00%,1.0,0.00%,ERR9456920,ERR9456920,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.2,0.00%,ERR3610816,ERR3610816,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR7664969,SRR7664969,Host-associated:Mammals
bosTau9.fa.gz,0.00%,20.2,0.10%,SRR12180980,SRR12180980,Host-associated:Insecta
bosTau9.fa.gz,0.00%,3.2,0.00%,SRR6713626,SRR6713626,Engineered:Solid waste
bosTau9.fa.gz,0.00%,1.9,0.00%,SRR7287215,SRR7287215,Host-associated:Insecta
bosTau9.fa.gz,0.00%,4.6,0.00%,ERR2241662,ERR2241662,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.7,0.10%,SRR12272205,SRR12272205,Host-associated:Mammals
bosTau9.fa.gz,0.00%,19.3,0.00%,SRR12181035,SRR12181035,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.4,0.00%,SRR1632445,SRR1632445,Host-associated:Human
bosTau9.fa.gz,0.00%,4.4,0.00%,ERR2592343,ERR2592343,Engineered:Wastewater
bosTau9.fa.gz,0.00%,5.8,0.00%,SRR15633998,SRR15633998,Host-associated:Mammals
bosTau9.fa.gz,0.00%,16.2,0.10%,ERR2241752,ERR2241752,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.3,0.00%,ERR2607424,ERR2607424,Engineered:Wastewater
bosTau9.fa.gz,0.00%,3.7,0.00%,ERR6760079,ERR6760079,Host-associated:Mammals
bosTau9.fa.gz,0.10%,4.5,0.10%,SRR15604587,SRR15604587,Host-associated:Mammals
bosTau9.fa.gz,0.00%,7.5,0.10%,ERR2592336,ERR2592336,Engineered:Wastewater
bosTau9.fa.gz,0.00%,7.9,0.00%,ERR1414265,ERR1414265,Engineered:Wastewater
bosTau9.fa.gz,0.00%,1.5,0.10%,SRR1632820,SRR1632820,Host-associated:Human
bosTau9.fa.gz,0.00%,2.3,0.00%,SRR3187432,SRR3187432,Host-associated:Human
bosTau9.fa.gz,0.00%,1.7,0.00%,SRR11267081,SRR11267081,Host-associated:Insecta
bosTau9.fa.gz,0.00%,3.8,0.00%,SRR10810020,SRR10810020,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.2,0.00%,SRR12908327,SRR12908327,Engineered:Lab enrichment
bosTau9.fa.gz,0.20%,2.5,0.10%,ERR2241907,ERR2241907,Host-associated:Animal
bosTau9.fa.gz,0.10%,5.5,0.10%,SRR15604488,SRR15604488,Host-associated:Mammals
bosTau9.fa.gz,0.00%,19.1,0.00%,SRR12181033,SRR12181033,Host-associated:Insecta
bosTau9.fa.gz,0.00%,3.6,0.00%,ERR2245479,ERR2245479,Host-associated:Animal
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR3183649,SRR3183649,Host-associated:Human
bosTau9.fa.gz,0.00%,1.4,0.00%,ERR738548,ERR738548,Engineered:Modeled
bosTau9.fa.gz,0.10%,1.4,0.00%,ERR2245445,ERR2245445,Host-associated:Animal
bosTau9.fa.gz,0.00%,13.3,0.00%,SRR10527395,SRR10527395,Host-associated:Plants
bosTau9.fa.gz,0.00%,9.5,0.10%,ERR2094165,ERR2094165,Environmental:Aquatic
bosTau9.fa.gz,0.10%,1.5,0.00%,ERR2564007,ERR2564007,Environmental:Aquatic
bosTau9.fa.gz,0.00%,6.5,0.10%,SRR7610135,SRR7610135,Host-associated:Fish
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR1631321,SRR1631321,Host-associated:Human
bosTau9.fa.gz,0.00%,4.0,0.00%,SRR5808807,SRR5808807,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.1,0.00%,SRR12272164,SRR12272164,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.5,0.00%,ERR2241673,ERR2241673,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3988555,SRR3988555,Environmental:Aquatic
bosTau9.fa.gz,0.00%,1.2,0.10%,SRR1631705,SRR1631705,Host-associated:Human
bosTau9.fa.gz,0.00%,15.5,0.00%,ERR2241905,ERR2241905,Host-associated:Animal
bosTau9.fa.gz,0.00%,2.9,0.00%,DRR014782,DRR014782,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.8,0.00%,SRR1631315,SRR1631315,Host-associated:Human
bosTau9.fa.gz,0.00%,2.3,0.10%,SRR13713017,SRR13713017,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR19759452,SRR19759452,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR3988603,SRR3988603,Environmental:Aquatic
bosTau9.fa.gz,0.00%,5.3,0.00%,ERR2241906,ERR2241906,Host-associated:Animal
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR2107178,SRR2107178,Engineered:Wastewater
bosTau9.fa.gz,0.00%,2.5,0.00%,SRR13827504,SRR13827504,Host-associated:Mammals
bosTau9.fa.gz,0.00%,10.5,0.20%,SRR6727993,SRR6727993,Host-associated:Fish
bosTau9.fa.gz,0.00%,2.2,0.00%,ERR10695319,ERR10695319,Engineered:Food production
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2607498,ERR2607498,Engineered:Wastewater
bosTau9.fa.gz,0.10%,2.0,0.10%,ERR4398722,ERR4398722,Host-associated:Animal
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR19981115,SRR19981115,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR1631664,SRR1631664,Host-associated:Human
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR10736386,ERR10736386,Engineered:Food production
bosTau9.fa.gz,0.00%,1.5,0.00%,ERR2762980,ERR2762980,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.5,0.00%,SRR5382238,SRR5382238,Host-associated:Mammals
bosTau9.fa.gz,0.00%,2.0,0.00%,SRR13840094,SRR13840094,Host-associated:Mammals
bosTau9.fa.gz,0.00%,17.2,0.10%,SRR12181016,SRR12181016,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR13256671,SRR13256671,Host-associated:Insecta
bosTau9.fa.gz,0.00%,1.0,0.00%,SRR15429271,SRR15429271,Host-associated:Mammals
bosTau9.fa.gz,0.00%,1.3,0.00%,SRR2107218,SRR2107218,Engineered:Wastewater
